"";"AIC";"BIC";"time";"rho";"knn";"obsSample";"minInterval";"moran"
"1";43,6474887884092;79,9289798204376;0,306613206863403;0,772831443376387;2;200;1;0,350617586136249
"2";38,3790383433983;74,6605293754267;0,249097108840942;0,790154435689432;3;200;1;0,34255322502296
"3";26,6177509871917;62,8992420192201;0,257199048995972;0,827500701263124;4;200;1;0,289014413587347
"4";-6,01231628149202;30,2691747505364;0,275305032730103;0,864956457189147;5;200;1;0,271271049070776
"5";7,7583397334158;44,0398307654442;0,25609302520752;0,874648124809695;6;200;1;0,235616597953348
"6";20,9633259704742;57,2448170025026;0,259299039840698;0,889809481558424;7;200;1;0,209253020758743
"7";22,9069030635434;59,1883940955718;0,262969970703125;0,890050892102128;8;200;1;0,187127530791884
"8";35,018375730909;71,2998667629374;0,261115074157715;0,874978875454761;9;200;1;0,179044121800242
"9";36,6711841434532;72,9526751754816;0,261864900588989;0,894434383115329;10;200;1;0,166853357891384
"10";38,9627467539106;75,244237785939;0,266036033630371;0,911864020101254;11;200;1;0,160879818922138
"11";52,0348729382805;88,3163639703089;0,270470142364502;0,91518659088052;12;200;1;0,160225220871894
"12";56,7428117372969;93,0243027693253;0,26781702041626;0,922073441866835;13;200;1;0,147430693738519
"13";64,7830124539231;101,064503485952;0,274182081222534;0,916893264034191;14;200;1;0,138657516740461
"14";73,3022688230189;109,583759855047;0,275439977645874;0,913001651225244;15;200;1;0,137772249196938
"15";86,7301050983414;123,01159613037;0,278300046920776;0,906594798392629;16;200;1;0,128438770605486
"16";90,2986615305207;126,580152562549;0,274753093719482;0,909913153907225;17;200;1;0,129278362534677
"17";96,9200864008305;133,201577432859;0,285953998565674;0,915378471441106;18;200;1;0,122762415765194
"18";110,015477886047;146,296968918075;0,28498387336731;0,916582138927087;19;200;1;0,118835967683744
"19";120,931534239118;157,213025271146;0,288497924804688;0,916213299426623;20;200;1;0,114321803757851
"20";125,890940446991;162,17243147902;0,302483081817627;0,922422316456247;21;200;1;0,105575052044426
"21";136,905553182403;173,187044214432;0,289827823638916;0,918700226707352;22;200;1;0,100609852959327
"22";150,131211763146;186,412702795175;0,289134979248047;0,917030183570391;23;200;1;0,0914308224688158
"23";163,857846678958;200,139337710986;0,290991067886353;0,908872328315986;24;200;1;0,0908402092193255
"24";169,163230476159;205,444721508188;0,28898811340332;0,907939589418508;25;200;1;0,077943032533949
"25";177,519777166796;213,801268198825;0,291438102722168;0,902357555495646;26;200;1;0,0803179851561561
"26";181,853766692518;218,135257724546;0,294351100921631;0,89929930487531;27;200;1;0,07938389938904
"27";187,002097774896;223,283588806925;0,29203200340271;0,894466435960702;28;200;1;0,0819570994078987
"28";193,47180172105;229,753292753078;0,293093204498291;0,890123073610055;29;200;1;0,0794479496988054
"29";194,730066800781;231,011557832809;0,292847871780396;0,887746794012155;30;200;1;0,0743308665886181
"30";197,663811729996;233,945302762024;0,29381799697876;0,885504905980319;31;200;1;0,072922666377254
"31";203,652909871099;239,934400903127;0,315508842468262;0,869647603544192;32;200;1;0,0652783014822005
"32";209,610325245063;245,891816277092;0,293215036392212;0,854102312303938;33;200;1;0,0610918945001203
"33";214,542900785861;250,824391817889;0,297016859054565;0,841663478354572;34;200;1;0,0650699466404858
"34";217,383898040355;253,665389072384;0,302187919616699;0,81944680698779;35;200;1;0,0646410527649082
"35";219,976980517528;256,258471549556;0,349639892578125;0,800915642298372;36;200;1;0,0622407086662711
"36";223,249041800201;259,53053283223;0,299243211746216;0,778007437628262;37;200;1;0,0603944360912673
"37";224,700392186764;260,981883218792;0,298585176467896;0,74687197705895;38;200;1;0,0573092153836593
"38";231,490987170003;267,772478202032;0,299517154693604;0,713852899579883;39;200;1;0,0538555378835701
"39";235,208564947068;271,490055979096;0,308692932128906;0,686203144117887;40;200;1;0,0544732711887246
"40";239,621431792864;275,902922824892;0,307796001434326;0,6448939693525;41;200;1;0,053674914696662
"41";243,257895369529;279,539386401557;0,30817699432373;0,621610634018947;42;200;1;0,0515485233587596
"42";244,692736858917;280,974227890946;0,366015911102295;0,571763690866258;43;200;1;0,0501133342683688
"43";247,903277883753;284,184768915781;0,311625003814697;0,477110868167595;44;200;1;0,0503518759419226
"44";245,646530283717;281,928021315745;0,336421012878418;0,326195761577436;45;200;1;0,0467968768572515
"45";244,584742015717;280,866233047746;0,319171905517578;0,191015243638082;46;200;1;0,0440454321576939
"46";243,844761002862;280,12625203489;0,314809083938599;0,079319965095494;47;200;1;0,0426146400559312
"47";241,767459388774;278,048950420802;0,320723056793213;-0,0280672934092616;48;200;1;0,0422292734068911
"48";237,270952805283;273,552443837312;0,299044847488403;-0,218226231557751;49;200;1;0,0407150539263412
"49";235,024552621449;271,306043653477;0,31895112991333;-0,354408333298067;50;200;1;0,0412769859758355
"50";237,77195668821;274,053447720238;0,308177947998047;-0,355763656248339;51;200;1;0,0386430047727407
"51";242,512758106943;278,794249138971;0,315197944641113;-0,478971993568108;52;200;1;0,0375158858463967
"52";239,681563244328;275,963054276357;0,315335035324097;-0,639365076253031;53;200;1;0,034758444839298
"53";236,481509752253;272,763000784281;0,309217929840088;-0,697539371283455;54;200;1;0,0304027476888005
"54";234,07553996252;270,357030994549;0,331215858459473;-0,768270228820864;55;200;1;0,0287747131666623
"55";232,686968460031;268,968459492059;0,330456972122192;-0,855723048172062;56;200;1;0,0277881544959585
"56";234,446949329799;270,728440361828;0,331666946411133;-0,915882051132039;57;200;1;0,0244587894325777
"57";228,989846089961;265,271337121989;0,5294029712677;-0,999999962994174;58;200;1;0,0247304173155496
"58";228,236840005776;264,518331037804;0,507642030715942;-0,999999962994174;59;200;1;0,0235907216414771
"59";226,326446444298;262,607937476326;0,509177923202515;-0,999999962994174;60;200;1;0,0223448913615328
"60";225,943118507886;262,224609539914;0,727566003799438;-0,999999962994174;61;200;1;0,0211443803493779
"61";227,441296268639;263,722787300668;0,533843994140625;-0,999999962994174;62;200;1;0,019972445578231
"62";228,677435470303;264,958926502331;0,579777002334595;-0,999999962994174;63;200;1;0,0194221577832118
"63";229,300573586401;265,58206461843;0,593920946121216;-0,999999962994174;64;200;1;0,0201953706507897
"64";226,134493723925;262,415984755954;0,58643102645874;-0,999999962994174;65;200;1;0,0182797323881256
"65";223,357753006447;259,639244038475;0,596646070480347;-0,999999962994174;66;200;1;0,0170400155602305
"66";225,749366823548;262,030857855576;0,608566999435425;-0,999999962994174;67;200;1;0,0143664312348729
"67";221,978477257627;258,259968289656;0,597804069519043;-0,999999962994174;68;200;1;0,0129744024319758
"68";220,203411783088;256,484902815117;0,801326990127563;-0,999999962994174;69;200;1;0,0135369819897971
"69";215,735396396641;252,01688742867;0,595200061798096;-0,999999962994174;70;200;1;0,012313191879999
"70";214,137494769879;250,418985801908;0,583083152770996;-0,999999962994174;71;200;1;0,0118520272767706
"71";215,062688026424;251,344179058453;0,586446046829224;-0,999999962994174;72;200;1;0,0114524075564843
"72";218,55059258479;254,832083616818;0,592925786972046;-0,999999962994174;73;200;1;0,0110911740346767
"73";221,176646666351;257,458137698379;0,584725856781006;-0,999999962994174;74;200;1;0,0101756116347306
"74";221,324872170661;257,60636320269;0,606850147247314;-0,999999962994174;75;200;1;0,00991240419422393
"75";221,623096667844;257,904587699872;0,653763055801392;-0,999999962994174;76;200;1;0,0104995595776525
"76";222,997509116753;259,279000148782;0,685213804244995;-0,999999962994174;77;200;1;0,0090720555067551
"77";221,962955143171;258,244446175199;0,710613965988159;-0,999999962994174;78;200;1;0,00985321641460047
"78";222,319468419966;258,600959451994;0,692363023757935;-0,999999962994174;79;200;1;0,0109377008506748
"79";224,043090533653;260,324581565682;0,6893150806427;-0,999999962994174;80;200;1;0,0113908033279691
"80";223,59749830052;259,878989332549;0,869143962860107;-0,999999962994174;81;200;1;0,0110462813238256
"81";225,885794807123;262,167285839152;0,682891130447388;-0,999999962994174;82;200;1;0,00994410834336647
