"AIC" "BIC" "time" "rho" "knn" "obsSample" "seed" "moran" "direct" "indirect" "total" "AICsem" "BICsem" "lambda"
0 0 0 0 0 0 0 0 0 0 0 0 0 0
-607.083370429466 -590.591783596726 0.329828977584839 0.405811207476259 2 200 1 0.978489757264008 -0.0181470687588115 0.00140594087946458 -0.0167411278793469 -608.866954006211 -595.673684540019 0.404840360286758
-618.01955397822 -601.52796714548 0.285278081893921 0.49488430043352 3 200 1 0.974845004316568 -0.0181782436196692 0.00141552028309466 -0.0167627233365745 -619.75699712664 -606.563727660448 0.493816231670368
-615.882948155837 -599.391361323096 0.291971921920776 0.527780029248716 4 200 1 0.966187710348048 -0.0193799088821368 0.00256283372272106 -0.0168170751594157 -616.905294849924 -603.712025383732 0.524683188203881
-624.085835848934 -607.594249016194 0.286235809326172 0.586870103811206 5 200 1 0.97034981001554 -0.0184136781241498 0.00166764015834737 -0.0167460379658025 -625.617217200728 -612.423947734535 0.584656798929731
-628.385221602486 -611.893634769746 0.291222095489502 0.625455075431261 6 200 1 0.967721251413731 -0.0182712678879881 0.00152359182516931 -0.0167476760628188 -629.918736468613 -616.72546700242 0.623454691332802
-627.827298441502 -611.335711608761 0.283904075622559 0.636895712492544 7 200 1 0.966488564968007 -0.0180661680417726 0.0013296822998732 -0.0167364857418994 -629.432223075437 -616.238953609245 0.634885071891905
-628.475167754832 -611.983580922092 0.290857076644897 0.652311328751215 8 200 1 0.967572868455853 -0.0174549144853226 0.000731238987560865 -0.0167236754977617 -630.345894461058 -617.152624994866 0.650798479069365
-627.735819094901 -611.244232262161 0.28324294090271 0.659355583490321 9 200 1 0.96627272067143 -0.017550889339074 0.000825981952471428 -0.0167249073866026 -629.555331777014 -616.362062310822 0.657509657460171
-625.169518528637 -608.677931695896 0.284284830093384 0.652254323680457 10 200 1 0.965647086949218 -0.0173682420740188 0.000649814545273773 -0.016718427528745 -627.051874037096 -613.858604570904 0.650753138001752
-627.781437299869 -611.289850467129 0.301813840866089 0.669098761936482 11 200 1 0.96482896686314 -0.0171247127936876 0.000389207809338817 -0.0167355049843488 -629.736089572072 -616.54282010588 0.668347643643283
-629.02427162944 -612.5326847967 0.283282995223999 0.677071736843462 12 200 1 0.964797433136249 -0.0170182482313913 0.000318587438417631 -0.0166996607929736 -630.991436721052 -617.79816725486 0.676439285737669
-629.011727874502 -612.520141041762 0.295212030410767 0.679686348476467 13 200 1 0.963723810857305 -0.0166548188046504 -6.13771525588558e-05 -0.0167161959572092 -631.010386592062 -617.817117125869 0.679786156164925
-631.063317951185 -614.571731118445 0.296962976455688 0.685760528141146 14 200 1 0.962337689780838 -0.0167252191432836 -2.1379490844721e-05 -0.0167465986341283 -633.063138464182 -619.86986899799 0.685789679669867
-635.283525657311 -618.79193882457 0.276260852813721 0.701226855087107 15 200 1 0.961550201081384 -0.0164932484432508 -0.000286327198246027 -0.0167795756414969 -637.248438043818 -624.055168577626 0.70153268902373
-636.104058397715 -619.612471564975 0.298419952392578 0.703489533786846 16 200 1 0.961315919344977 -0.0161000652996657 -0.000698233598414949 -0.0167982988980806 -637.87731386922 -624.684044403027 0.704038829649096
-635.704802173366 -619.213215340626 0.279296875 0.701716053898223 17 200 1 0.960555699909593 -0.0161256712885669 -0.000669532279940696 -0.0167952035685076 -637.480096224038 -624.286826757845 0.702237134583108
-636.404666027115 -619.913079194375 0.282285928726196 0.705544255151019 18 200 1 0.959775800217188 -0.0161960193310477 -0.000588283550823014 -0.0167843028818707 -638.223788965478 -625.030519499286 0.706016050234597
-636.218711102605 -619.727124269865 0.295252084732056 0.704881817618733 19 200 1 0.959385686383519 -0.0161865788982793 -0.000601208041472893 -0.0167877869397522 -638.026789544793 -624.833520078601 0.705345198795989
-636.085770232412 -619.594183399672 0.300230979919434 0.722668480436819 20 200 1 0.917584723754398 -0.0150236786091744 -0.00216962364812029 -0.0171933022572947 -635.839340665056 -622.646071198864 0.729296934531344
-631.369113344665 -614.877526511924 0.299626111984253 0.732329679059036 21 200 1 0.878137148498143 -0.0152563439386135 -0.00208910625380196 -0.0173454501924154 -631.373302604331 -618.180033138138 0.7435685479756
-627.549614679766 -611.058027847026 0.297930955886841 0.735434713793349 22 200 1 0.842783467806824 -0.0154640024606739 -0.00196883507517479 -0.0174328375358487 -627.747833614422 -614.55456414823 0.750046535367161
-625.107319279091 -608.615732446351 0.303000926971436 0.745055453199799 23 200 1 0.805747219045053 -0.0159103828405694 -0.00133814821042429 -0.0172485310509937 -626.296244460492 -613.1029749943 0.756391672601285
-622.848088822442 -606.356501989702 0.28903603553772 0.754677862027295 24 200 1 0.772236800568785 -0.0162527493302627 -0.00087537478576696 -0.0171281241160296 -624.517137929719 -611.323868463526 0.761284825361704
-620.538391919928 -604.046805087188 0.281083822250366 0.753348283801671 25 200 1 0.746609244936155 -0.0161435225155146 -0.00115444717794222 -0.0172979696934569 -621.994608348565 -608.801338882372 0.76432647476494
-617.497554610064 -601.005967777323 0.301141023635864 0.765447189762647 26 200 1 0.716447990850811 -0.0163598753656465 -0.000788394193134388 -0.0171482695587809 -619.278493836798 -606.085224370605 0.772527165592052
