"AIC" "BIC" "time" "rho" "knn" "obsSample" "seed" "moran"
0 0 0 0 0 0 0 0
-578.18728420034 -558.397380001052 0.290231943130493 0.506445426617068 2 200 1 0.999499977420975
-590.157879771514 -570.367975572225 0.228429079055786 0.597493129226102 3 200 1 0.999229799997727
-601.257701187841 -581.467796988553 0.271325826644897 0.653370174347122 4 200 1 0.999003263409961
-605.426069034208 -585.63616483492 0.244384050369263 0.683773394359921 5 200 1 0.999030810632838
-609.831846495887 -590.041942296599 0.247820138931274 0.706411667368181 6 200 1 0.998775863048583
-613.975340900552 -594.185436701263 0.235411882400513 0.729321045038602 7 200 1 0.998299443465977
-615.805186909315 -596.015282710026 0.255362987518311 0.746438793797062 8 200 1 0.998134730957347
-615.974790701766 -596.184886502477 0.23736310005188 0.75108956387307 9 200 1 0.997932693369495
-619.385020004212 -599.595115804924 0.292084932327271 0.765171386724338 10 200 1 0.997827991647404
-621.005307520218 -601.21540332093 0.240355968475342 0.774844202475949 11 200 1 0.997984410847641
-622.176986179594 -602.387081980306 0.236402034759521 0.778827848719903 12 200 1 0.99791147613249
-626.346711509347 -606.556807310058 0.23731803894043 0.791370950517157 13 200 1 0.997914854470382
-624.791852882891 -605.001948683603 0.30322790145874 0.79089587009801 14 200 1 0.997822845789658
-625.366057543534 -605.576153344246 0.230386972427368 0.79404436902238 15 200 1 0.997891690219014
-626.0027459074 -606.212841708112 0.241381883621216 0.794314106995569 16 200 1 0.997912789163096
-625.821398368227 -606.031494168939 0.287274122238159 0.791748337990692 17 200 1 0.998138145589011
-627.67497208673 -607.885067887441 0.26130199432373 0.798023649419859 18 200 1 0.998446917323399
-628.23106596826 -608.441161768972 0.25731086730957 0.798605808492041 19 200 1 0.998633412554219
-627.642871261736 -607.852967062448 0.235371112823486 0.7967098868559 20 200 1 0.998538764827764
-626.153923977833 -606.364019778545 0.237360000610352 0.796575819298709 21 200 1 0.99852830803496
-625.536458654505 -605.746554455217 0.238339185714722 0.795535191777406 22 200 1 0.998563468224507
-625.839726373441 -606.049822174152 0.255316972732544 0.795484193715467 23 200 1 0.998519462376239
-623.85031979548 -600.762098229643 0.23616099357605 0.794211600642972 24 200 1 0.996734825269182
-627.451281572132 -604.363060006296 0.236327886581421 0.833814413850917 25 200 1 0.914981102315165
-617.090495297669 -594.002273731833 0.239355087280273 0.848497511624793 26 200 1 0.843059477062944
-615.724079851654 -592.635858285818 0.261265993118286 0.872294070277632 27 200 1 0.773082407161673
-607.266321224154 -584.178099658318 0.266247034072876 0.880210958227802 28 200 1 0.709385559939319
-598.247485384991 -575.159263819155 0.279294967651367 0.889916613459849 29 200 1 0.65656031625077
-587.821196928076 -564.73297536224 0.294174194335938 0.885327174152146 30 200 1 0.6095840389486
-580.153327065737 -557.065105499901 0.298244953155518 0.882081649218635 31 200 1 0.56650179803295
-573.149203310239 -550.060981744403 0.289226055145264 0.86706472520544 32 200 1 0.529083714760218
-567.412405008402 -544.324183442566 0.261303186416626 0.844613236514864 33 200 1 0.496638215523966
-566.308958087647 -543.220736521811 0.297206163406372 0.842707879663939 34 200 1 0.466011423945061
-562.7135094495 -539.625287883664 0.291221857070923 0.827916185266685 35 200 1 0.438031436791947
-557.807588529443 -534.719366963607 0.328088998794556 0.79349074716666 36 200 1 0.414554455273454
-554.145876881467 -531.057655315631 0.305186986923218 0.770066363289502 37 200 1 0.39575788280638
-552.229492536865 -529.141270971029 0.318152189254761 0.749041152229068 38 200 1 0.379954977453432
-549.049430281327 -525.961208715491 0.309034109115601 0.72621059664466 39 200 1 0.365471097390202
-545.850503741384 -522.762282175548 0.27689790725708 0.695433551116546 40 200 1 0.352153468858976
-545.444719246032 -522.356497680196 0.358390092849731 0.68753801550287 41 200 1 0.340594867065669
-544.682928830053 -521.594707264216 0.312355041503906 0.668566383413663 42 200 1 0.330673967311072
-542.998748618001 -519.910527052165 0.32177996635437 0.64834091020467 43 200 1 0.322926595598012
-542.046148947191 -518.957927381355 0.282672882080078 0.632253180862527 44 200 1 0.315434443224733
-539.748890732874 -516.660669167038 0.288043975830078 0.611500879647147 45 200 1 0.30909474053261
-536.408016713711 -513.319795147875 0.28763484954834 0.555146907072886 46 200 1 0.304816198043146
-534.590722240696 -511.502500674859 0.28540301322937 0.52804758143801 47 200 1 0.300448216482205
-532.420939834826 -509.33271826899 0.26482105255127 0.541169668115443 48 200 1 0.297075643279594
-531.404562631971 -508.316341066135 0.315623998641968 0.542194248726916 49 200 1 0.29264997797338
-529.498567712573 -506.410346146737 0.319160938262939 0.538875802608826 50 200 1 0.291044814118381
-130.434209826849 -110.644305627561 0.300198078155518 0.727247659146262 2 200 51 0.991823122034097
-154.609455662931 -134.819551463642 0.248650074005127 0.791171918602373 3 200 51 0.987526654614227
-162.286307139076 -142.496402939787 0.291482925415039 0.811582486853497 4 200 51 0.987042830609811
