"AIC" "BIC" "time" "rho" "knn" "obsSample" "seed" "moran"
0 0 0 0 0 0 0 0
-487.301845727271 -470.810258894531 0.523599863052368 0.678016206972464 2 200 1 0.96291616529298
-499.758671084261 -483.267084251521 0.448799848556519 0.759524088293792 3 200 1 0.952498149368146
-501.273931088958 -484.782344256217 0.423892974853516 0.79615384186434 4 200 1 0.938647606615991
-505.359650991431 -488.868064158691 0.44484806060791 0.82998156306782 5 200 1 0.929482979423582
-517.288990800985 -500.797403968245 0.480951070785522 0.861355779696918 6 200 1 0.924342275062671
-516.506092107094 -500.014505274354 0.414990901947021 0.875302695503628 7 200 1 0.917792323011688
-513.148132656901 -496.656545824161 0.439393043518066 0.888948152401463 8 200 1 0.907567518732259
-506.907814035215 -490.416227202475 0.398096084594727 0.902610007700906 9 200 1 0.893751688690821
-497.87611040976 -481.384523577019 0.445873022079468 0.903546736457842 10 200 1 0.885775764253185
-492.209576599289 -475.717989766549 0.408607006072998 0.911251394561786 11 200 1 0.87901556841874
-490.235723872047 -473.744137039307 0.470467805862427 0.917889160786733 12 200 1 0.871726549104749
-486.879020675565 -470.387433842825 0.418587923049927 0.923458853632449 13 200 1 0.86534544100199
-485.225147727652 -468.733560894911 0.433218002319336 0.929080026642738 14 200 1 0.859669528756713
-479.432801804479 -462.941214971739 0.471204042434692 0.931033745054031 15 200 1 0.851272636133408
-474.608848133458 -458.117261300718 0.422002792358398 0.934060132305533 16 200 1 0.840736412815494
-470.261052620765 -453.769465788024 0.445500135421753 0.935787582054774 17 200 1 0.830854325651264
-465.534273958262 -449.042687125522 0.480616092681885 0.937347181929318 18 200 1 0.82158411293933
-460.564227124106 -444.072640291366 0.481868982315063 0.934377518518226 19 200 1 0.813723642190246
-454.667304519773 -438.175717687033 0.466414213180542 0.934531782184553 20 200 1 0.80378486794421
-452.183138809763 -435.691551977023 0.43359112739563 0.936862066513849 21 200 1 0.792898876951649
-446.992248409001 -430.500661576261 0.451510906219482 0.938394936859434 22 200 1 0.781778359055996
-442.371729227628 -425.880142394888 0.456357955932617 0.937630756254025 23 200 1 0.773609363128068
-438.567154648997 -422.075567816257 0.470693111419678 0.938114910252487 24 200 1 0.761401473560132
-438.169040771615 -421.677453938875 0.486737966537476 0.943146894081239 25 200 1 0.75158768349124
-434.789020753405 -418.297433920665 0.470968961715698 0.943768518408722 26 200 1 0.742957286665444
-430.07497887488 -413.58339204214 0.516705989837646 0.94204532128003 27 200 1 0.733367473910344
-428.436336057446 -411.944749224706 0.483270168304443 0.944729101649772 28 200 1 0.72428772554989
-424.50032414565 -408.00873731291 0.555263996124268 0.944119977558757 29 200 1 0.714764617289407
-421.91746387677 -405.42587704403 0.495147943496704 0.945449180447774 30 200 1 0.705124215357405
-417.119604936678 -400.628018103938 0.553171157836914 0.94307696150842 31 200 1 0.69532718209443
-413.748406493685 -397.256819660945 0.531277179718018 0.941556670327016 32 200 1 0.685067852553615
-407.788385175119 -391.296798342379 0.510678052902222 0.936698209394638 33 200 1 0.673505542458077
-401.977633546831 -385.48604671409 0.479888916015625 0.930857614969575 34 200 1 0.662594183497051
-397.123294627822 -380.631707795082 0.499933004379272 0.924645996954239 35 200 1 0.65305716785877
-393.45584592971 -376.964259096969 0.498639106750488 0.918992998656621 36 200 1 0.642176060361515
-389.648845173096 -373.157258340356 0.522150039672852 0.91343850114022 37 200 1 0.633125162203951
-386.337552579927 -369.845965747187 0.520761966705322 0.909101800862457 38 200 1 0.621867625408108
-382.90939171295 -366.41780488021 0.478398084640503 0.900358354063072 39 200 1 0.613618019719445
-380.856660458037 -364.365073625297 0.535960912704468 0.896855263301692 40 200 1 0.603049300272172
-378.640129897851 -362.148543065111 0.577115058898926 0.889587623629689 41 200 1 0.595573726751471
-374.896181065579 -358.404594232839 0.504619121551514 0.877306450439973 42 200 1 0.585809021076268
-372.052755171773 -355.561168339033 0.564322948455811 0.864354974291776 43 200 1 0.575279294552165
-369.039491503646 -352.547904670905 0.592149019241333 0.853525905038633 44 200 1 0.564349399793154
-366.226190980842 -349.734604148102 0.554765939712524 0.836384472786623 45 200 1 0.553603169596162
-364.76676183119 -348.27517499845 0.542166948318481 0.826695232006747 46 200 1 0.547989114535818
-360.724237636141 -344.232650803401 0.518678903579712 0.785062038897114 47 200 1 0.537455789309358
-357.613899407676 -341.122312574936 0.518030166625977 0.74021675644132 48 200 1 0.528133455494584
-354.806832173793 -338.315245341053 0.575889110565186 0.689247110861554 49 200 1 0.51961065228802
