"AIC" "BIC" "time" "rho" "knn" "obsSample" "seed" "moran"
0 0 0 0 0 0 0 0
-208.105547922395 -178.420691623463 0.335813045501709 0.422260196750766 2 200 1 0.868590659261809
-216.739513409975 -187.054657111042 0.271660089492798 0.522707058699117 3 200 1 0.85611335392558
-223.94552882883 -194.260672529898 0.272002935409546 0.602671303371917 4 200 1 0.828422601602096
-226.633549309782 -196.94869301085 0.256175994873047 0.644878107735572 5 200 1 0.824973416480326
-219.621538861069 -189.936682562136 0.263863086700439 0.634935573311637 6 200 1 0.811493437750757
-221.18167143485 -191.496815135918 0.261223077774048 0.673388863112124 7 200 1 0.807103830954358
-223.491233333805 -193.806377034873 0.256134033203125 0.697025209258249 8 200 1 0.792161133220567
-222.203804967355 -192.518948668423 0.262914896011353 0.712685222147527 9 200 1 0.785604304999096
-223.900261267494 -194.215404968562 0.258309125900269 0.746591061533239 10 200 1 0.774863284736316
-217.580466131442 -187.89560983251 0.257828235626221 0.7235968346377 11 200 1 0.764886704760815
-217.776760940639 -188.091904641707 0.272881984710693 0.738457347057069 12 200 1 0.754915660553282
-214.397502353117 -184.712646054185 0.282076835632324 0.731511601306278 13 200 1 0.743189453147013
-214.551889209521 -184.867032910588 0.271210908889771 0.743470456339439 14 200 1 0.728782223904593
-214.106545588092 -184.42168928916 0.269576787948608 0.74098581687491 15 200 1 0.720623043466795
-215.59653902937 -185.911682730437 0.273681163787842 0.756834346904177 16 200 1 0.708684263246882
-213.938170180123 -184.253313881191 0.278435945510864 0.754706451664674 17 200 1 0.697659892865451
-212.951899195792 -183.267042896859 0.280601978302002 0.759219257970438 18 200 1 0.693490606560044
-208.940185083309 -179.255328784377 0.27459192276001 0.726647442463931 19 200 1 0.685614044341137
-207.95803860748 -178.273182308547 0.279880046844482 0.72851911958507 20 200 1 0.676323601604309
-205.911418627035 -176.226562328102 0.300930976867676 0.711062620131238 21 200 1 0.666955881316576
-204.482271815268 -174.797415516336 0.311767101287842 0.706849097572804 22 200 1 0.652488941441396
-204.262590745653 -174.577734446721 0.280900001525879 0.70735970197353 23 200 1 0.641730816145835
-203.635867048135 -173.951010749203 0.277302980422974 0.709846913899343 24 200 1 0.63137133657261
-203.404465939699 -173.719609640767 0.278803110122681 0.713478251343723 25 200 1 0.618567489830686
-201.624737447708 -171.939881148775 0.281718969345093 0.700854519081847 26 200 1 0.600195931734669
-201.111143182138 -171.426286883206 0.27144193649292 0.709501005132002 27 200 1 0.578332549933917
-199.841568837248 -170.156712538316 0.279254198074341 0.724545647835614 28 200 1 0.554834490219233
-197.988827345047 -168.303971046115 0.316486835479736 0.723267055227447 29 200 1 0.532445713208291
-197.348210303183 -167.66335400425 0.279529094696045 0.732040590919778 30 200 1 0.510651027745311
-195.238224758919 -165.553368459987 0.285656929016113 0.731870805384779 31 200 1 0.487242650037474
-192.625534066833 -162.940677767901 0.292225122451782 0.714509872178536 32 200 1 0.464904623426853
-192.766101557838 -163.081245258906 0.294212818145752 0.731846932360173 33 200 1 0.439925661995274
-192.229438049678 -162.544581750745 0.305473804473877 0.742697232287823 34 200 1 0.418799439770216
-190.911176527677 -161.226320228744 0.302762031555176 0.746734325975887 35 200 1 0.393045654371508
-190.691228037842 -161.006371738909 0.308479070663452 0.76014618190963 36 200 1 0.37262143949781
-189.29890018512 -159.614043886187 0.308890104293823 0.763602528395806 37 200 1 0.349825939636238
-188.81414459893 -159.129288299997 0.341765880584717 0.770810957000532 38 200 1 0.330030519720624
-188.495553054761 -158.810696755829 0.311738014221191 0.780260572699283 39 200 1 0.311016462226726
